date,max_temperature,avg_temperature,min_temperature,max_dew_point,avg_dew_point,min_dew_point,max_humidity,avg_humidity,min_humidity,max_wind_speed,avg_wind_speed,min_wind_speed,rainfall
27/6/2014,90,82.5,77,81,79.1,77,100,89.2,75,8,2.2,0,0.84
28/6/2014,91,83,77,81,78.9,77,100,87.3,71,12,2.6,0,1.99
29/6/2014,82,79.4,77,79,76,73,100,90.2,79,12,4.2,0,0
30/6/2014,88,79.9,77,79,76.4,73,100,89.7,75,12,4,1,0.02
1/7/2014,91,83.4,77,81,77,73,94,81.7,66,12,4.4,0,0.04
2/7/2014,91,85.3,79,81,78.7,77,94,80.7,63,10,3.3,0,0.33
3/7/2014,90,84,81,81,78.9,77,94,84.6,70,12,3.1,0,1.7
4/7/2014,90,85.1,79,81,79.1,77,100,82.8,66,10,4.4,0,0.94
5/7/2014,90,83.5,75,81,78.9,75,100,85.4,75,10,3.7,0,1.06
6/7/2014,91,85.7,81,81,79.4,77,94,81.4,70,13,4.8,0,1.17
8/7/2014,90,84.9,81,81,78.4,77,89,81.3,70,10,3.2,0,0
9/7/2014,90,84,81,79,76.9,75,89,79.7,62,10,3.5,0,0.23
10/7/2014,88,84.4,81,81,78.2,75,89,81.9,75,8,3.3,0,0
11/7/2014,90,84.2,81,81,78.9,77,94,83.7,70,12,3,0,15.66
12/7/2014,90,84.6,81,81,78.2,75,94,81.1,70,10,3,0,35.5
14/7/2014,91,85.4,81,81,77.3,75,89,77.2,62,12,3.6,0,22.05
17/7/2014,88,82.7,77,82,78.5,75,94,87.2,75,9,2.5,0,0.53
19/7/2014,90,83.8,77,81,76,73,94,78.3,66,12,4,0,0.68
23/7/2014,90,84.8,81,81,78.5,77,94,81.9,66,9,3.9,0,16.82
24/7/2014,91,84.8,81,81,78.8,77,94,82,66,13,5,0,15.84
25/7/2014,91,85.5,81,81,78.6,77,94,79.9,66,13,4.8,0,21.2
27/7/2014,91,83.7,79,79,76.8,73,89,80.5,63,14,3.5,0,10.38
31/7/2014,90,84,81,79,78.3,77,94,82.6,66,9,3.3,0,5.27
6/8/2014,82,80.4,77,77,75.6,73,94,86.1,79,15,3.4,0,0.09
10/8/2014,91,82.3,75,79,75.6,72,100,81.4,59,13,5.9,1,0
12/8/2014,86,81.5,77,77,75.8,72,94,83.2,70,10,3.7,0,5.86
13/8/2014,81,79.5,79,75,74.5,73,89,86.5,79,2,1.5,1,2.57
14/8/2014,86,81.1,77,77,75.9,73,94,84.9,74,9,3.4,0,1.68
15/8/2014,86,80.2,75,79,75.5,73,100,86.6,70,15,3.7,0,10.32
16/8/2014,88,82.4,79,79,76.5,75,94,82.9,70,15,4.9,0,25.33
18/8/2014,86,81.3,77,81,77.8,75,100,89.1,79,16,3.1,0,5.35
19/8/2014,90,82.6,77,79,76.6,73,100,83,66,10,3.6,0,0.23
20/8/2014,88,81.8,77,79,76.3,73,100,84.2,70,10,3,0,8.57
23/8/2014,86,79.7,77,79,76.7,75,100,91,79,9,3.2,0,3.09
28/8/2014,86,79.8,75,77,74.2,70,100,83.5,74,10,2.7,0,4.72
29/8/2014,88,81.4,75,77,75.2,73,94,82,66,7,2.4,0,8
31/8/2014,90,84,79,79,77.8,77,94,82.3,66,14,4,0,45.08
4/9/2014,88,82,79,79,76.3,73,94,83.3,70,15,3.9,0,15.81
5/9/2014,90,81.9,77,79,76.3,73,94,84.1,66,7,2.8,0,9.86
6/9/2014,90,81.4,73,77,74.9,72,100,82,62,12,3.8,0,6.87
7/9/2014,90,82.7,79,81,76.3,73,94,82.1,66,10,3.9,0,14.51
8/9/2014,88,81.7,77,79,75,72,89,80.4,66,7,2.9,0,9.73
9/9/2014,81,77.9,75,77,75.3,73,100,92.4,83,10,2.9,0,1.81
11/9/2014,90,83.1,77,79,76.2,75,94,80.8,62,9,3.6,0,2.38
12/9/2014,84,81.2,75,79,76.9,75,100,87.1,79,14,4,0,5.95
13/9/2014,88,82,77,79,76.5,75,94,83.8,70,10,4,0,6.46
16/9/2014,90,83.6,77,79,75.2,73,89,77.3,59,9,3.8,0,11.71
19/9/2014,91,81.9,75,81,76.8,73,100,85.4,66,18,4.6,0,4.82
21/9/2014,86,82,79,77,75.8,75,89,82.3,74,13,3.6,0,17.64
23/9/2014,88,82.1,79,79,76.8,75,94,84.2,70,10,4.2,0,25.11
26/9/2014,90,82.5,77,79,76.2,73,94,82.2,59,12,4.5,0,14.8
28/9/2014,88,83.2,79,79,77.2,75,94,82.6,66,12,4.8,0,0.52
29/9/2014,90,82.7,77,79,76.9,75,94,83.4,66,9,4.8,0,0.02
5/1/2015,90,82.8,77,77,74.9,73,89,78.1,62,12,3.8,0,1.9
6/1/2015,88,81,75,79,75.5,73,94,84.2,70,9,4.5,0,0.15
7/1/2015,90,81,77,79,75.7,73,94,85,66,15,4.4,0,0.58
8/1/2015,88,79.3,75,79,75.3,73,100,88.5,74,10,4.1,0,0.01
11/1/2015,88,81.8,77,77,75,72,89,80.2,66,12,4.9,0,7.03
12/1/2015,90,83.2,77,77,75.4,73,94,78.7,59,12,4.5,0,15.3
13/1/2015,91,83.3,79,77,74.2,70,89,75,59,12,5.9,0,2.03
14/1/2015,90,82.9,77,77,72.7,70,94,71.7,52,10,6.2,2,0.97
16/1/2015,90,82.6,77,73,69.3,66,78,64.9,46,15,7.9,1,0.01
17/1/2015,90,82,75,70,67.2,64,83,61.9,43,14,7.6,3,0.01
18/1/2015,88,82,75,72,68.1,64,74,63.2,48,12,6.8,2,0.01
21/1/2015,90,82.7,77,75,72.1,70,89,70.8,55,12,5.5,0,0
22/1/2015,90,82.7,77,73,69.6,68,74,65,55,12,8,3,0.01
23/1/2015,90,81.8,75,73,69.6,66,79,67.1,52,12,6.9,1,0.01
25/1/2015,88,82.4,79,75,73.3,72,89,74.9,58,10,4.8,0,0
26/1/2015,90,84.3,79,77,73.1,70,84,70,55,12,6.6,0,0
28/1/2015,90,83.1,77,75,72,66,83,70,55,10,5.2,1,0
29/1/2015,91,83.1,77,77,71.5,68,94,68.6,46,12,7.2,1,0
30/1/2015,90,81.3,77,77,75.8,73,100,84.6,62,12,3.5,0,0
31/1/2015,91,83.4,79,77,73.8,68,89,74.2,46,12,6.6,1,4.76
1/2/2015,91,83.2,77,72,65.2,63,74,55.8,38,18,11,5,1.77
2/2/2015,90,82.3,77,72,67.1,64,74,60.6,49,12,7.3,1,3.26
3/2/2015,91,83.2,77,75,68.2,64,79,61.7,43,14,9.2,2,9.14
5/2/2015,88,82.3,77,77,73,70,89,74.2,58,12,6.2,0,0.45
7/2/2015,90,82.7,77,77,72.1,68,84,70.9,49,13,6,2,6.27
8/2/2015,91,83.8,79,77,71.1,68,84,65.9,52,12,7,0,2.22
9/2/2015,91,83.5,79,73,69.7,68,74,63.3,46,13,9.3,1,1.99
10/2/2015,93,83.7,77,70,64.4,59,69,53.1,36,17,9,1,1.1
12/2/2015,88,82.6,77,73,68.8,63,74,63.3,51,12,6.4,0,5.82
13/2/2015,91,83.5,77,75,70.7,68,79,65.8,46,12,6,1,0.78
15/2/2015,91,83.3,77,75,73.1,70,89,72.5,59,10,5.3,0,0.08
17/2/2015,91,84.5,79,77,76,75,89,76.5,59,13,5.2,0,0.04
18/2/2015,90,82.7,75,77,75.3,73,94,79.8,59,13,7.2,1,0.05
20/2/2015,90,83.6,79,77,75.8,70,94,78.7,52,14,5.4,0,0
